date,name,match_points,match_percentage
2025-07-02,"""Gxagxa, Muzi 2""",29.9370,39.92%
2025-07-02,"""Dineka, Vuyisile""",24.5127,32.68%
2025-07-02,"""Docrat, Mohammed""",23.3101,31.08%
2025-07-02,"""Jones, Nicholas""",20.5309,27.37%
2025-07-02,"""Rahman, Aqeel""",14.4559,19.27%
2025-07-02,"""Levinrad, Dayne""",13.7600,18.35%
2025-07-02,"""Levinrad, Dayne 2""",13.7167,18.29%
2025-07-02,"""Chemaly, Daniel""",11.5130,15.35%
2025-07-02,"""Tshabalala, Dumisani Alexius""",8.2865,11.05%
2025-07-02,"""Hartzenberg, Byron""",7.6396,10.19%
2025-07-02,"""Wood, Jonathan""",4.4841,5.98%
2025-07-02,"""Msibi, Jabulani""",0.0000,0.00%
2025-07-02,"""Docrat, Mohammed""",0.0000,0.00%
2025-07-02,"""Dodge, Dave""",0.0000,0.00%
2025-07-02,"""Mabaso, Siphiwe""",0.0000,0.00%
2025-07-02,"""Name""",Stage Pts,Stage %
2025-07-02,"""De Gouveia, Roberto 2""",75.0000,100.00%
2025-07-02,"""Da Silva, Alexia 2""",67.5039,90.01%
2025-07-02,"""X, Ghost""",60.6221,80.83%
2025-07-02,"""De Gouveia, Roberto""",45.6786,60.90%
2025-07-02,"""Gillespie, Josh 3""",42.6507,56.87%
2025-07-02,"""Gillespie, Josh 2""",40.6462,54.19%
2025-07-02,"""Gillespie, Josh""",40.1257,53.50%
2025-07-02,"""Bishop, Mark""",32.4658,43.29%
2025-07-02,"""Smith, Sheldon""",27.7991,37.07%
2025-07-02,"""Du Plooy, Dewald""",27.1056,36.14%
2025-07-02,"""Rabie, Theo""",17.9593,23.95%
2025-07-02,"""Bardenhorst, Jeandre""",10.8462,14.46%
2025-07-02,"""Name""",Stage Pts,Stage %
2025-07-02,"""Naidoo, Saven""",75.0000,100.00%
2025-07-02,"""Naidoo, Saven 2""",30.2826,40.38%
2025-07-02,"""Veysel, Karan""",21.7752,29.03%
2025-07-02,"""Name""",Stage Pts,Stage %
2025-07-02,"""De Gouveia, Roberto 2""",75.0000,100.00%
2025-07-02,"""Da Cruz, David""",70.8489,94.47%
2025-07-02,"""Da Silva, Alexia 2""",67.5039,90.01%
2025-07-02,"""Rabie, Theo""",66.0369,88.05%
2025-07-02,"""X, Ghost""",60.6221,80.83%
2025-07-02,"""Morris, Bevan""",56.1205,74.83%
2025-07-02,"""De Gouveia, Roberto""",45.6786,60.90%
2025-07-02,"""Plein, Noah 2""",45.1076,60.14%
2025-07-02,"""De Gouveia, Roberto (P)""",43.6317,58.18%
2025-07-02,"""Gillespie, Josh 3""",42.6507,56.87%
2025-07-02,"""Plein, Noah""",42.0903,56.12%
2025-07-02,"""Moolman, Adrian""",42.0315,56.04%
2025-07-02,"""Gillespie, Josh 2""",40.6462,54.19%
2025-07-02,"""Gillespie, Josh""",40.1257,53.50%
2025-07-02,"""Dodge, Dave 2""",39.4216,52.56%
2025-07-02,"""Plein, Aubrey""",38.1504,50.87%
2025-07-02,"""Hepton, Harry""",37.9897,50.65%
2025-07-02,"""Wei, Darren""",34.3565,45.81%
2025-07-02,"""Naidoo, Saven""",32.8255,43.77%
2025-07-02,"""Bishop, Mark""",32.4658,43.29%
2025-07-02,"""Rowe, Connor""",31.2670,41.69%
2025-07-02,"""Gxagxa, Muzi""",28.6289,38.17%
2025-07-02,"""Smith, Sheldon""",27.7991,37.07%
2025-07-02,"""Du Plooy, Dewald""",27.1056,36.14%
2025-07-02,"""Dineka, Vuyisile 2""",26.3009,35.07%
2025-07-02,"""Coetzee, Desmond""",24.8716,33.16%
2025-07-02,"""Da Silva, Alexia""",24.3269,32.44%
2025-07-02,"""Khumalo, Sabelo""",22.4455,29.93%
2025-07-02,"""Knox, Nobby""",18.8888,25.19%
2025-07-02,"""Gxagxa, Muzi 2""",18.0052,24.01%
2025-07-02,"""Rabie, Theo""",17.9593,23.95%
2025-07-02,"""Dineka, Vuyisile""",14.7428,19.66%
2025-07-02,"""Docrat, Mohammed""",14.0195,18.69%
2025-07-02,"""Naidoo, Saven 2""",13.2539,17.67%
2025-07-02,"""Jones, Nicholas""",12.3480,16.46%
2025-07-02,"""Bardenhorst, Jeandre""",10.8462,14.46%
2025-07-02,"""Veysel, Karan""",9.5304,12.71%
2025-07-02,"""Rahman, Aqeel""",8.6943,11.59%
2025-07-02,"""Levinrad, Dayne""",8.2757,11.03%
2025-07-02,"""Levinrad, Dayne 2""",8.2497,11.00%
2025-07-02,"""Chemaly, Daniel""",6.9243,9.23%
2025-07-02,"""Tshabalala, Dumisani Alexius""",4.9838,6.65%
2025-07-02,"""Hartzenberg, Byron""",4.5947,6.13%
2025-07-02,"""Wood, Jonathan""",2.6969,3.60%
2025-07-02,"""Msibi, Jabulani""",0.0000,0.00%
2025-07-02,"""Docrat, Mohammed""",0.0000,0.00%
2025-07-02,"""Dodge, Dave""",0.0000,0.00%
2025-07-02,"""Mabaso, Siphiwe""",0.0000,0.00%
2025-07-02,"""Name""",Stage Pts,Stage %
2025-07-02,"""Plein, Aubrey""",75.0000,100.00%
2025-07-02,"""Name""",Stage Pts,Stage %
2025-07-02,"""Da Cruz, David""",75.0000,100.00%
2025-07-02,"""Rabie, Theo""",62.0694,82.76%
2025-07-02,"""Morris, Bevan""",60.9032,81.20%
2025-07-02,"""Rowe, Connor""",46.8105,62.41%
2025-07-02,"""Hepton, Harry""",42.9432,57.26%
2025-07-02,"""Wei, Darren""",32.2830,43.04%
2025-07-02,"""Name""",Stage Pts,Stage %
2025-07-02,"""Gxagxa, Muzi 2""",75.0000,100.00%
2025-07-02,"""Plein, Noah 2""",65.6693,87.56%
2025-07-02,"""De Gouveia, Roberto (P)""",64.7810,86.37%
2025-07-02,"""Plein, Noah""",55.0898,73.45%
2025-07-02,"""Moolman, Adrian""",52.9508,70.60%
2025-07-02,"""Docrat, Mohammed""",48.7296,64.97%
2025-07-02,"""Gxagxa, Muzi""",45.4565,60.61%
2025-07-02,"""Knox, Nobby""",40.5600,54.08%
2025-07-02,"""Dineka, Vuyisile""",39.9012,53.20%
2025-07-02,"""Coetzee, Desmond""",39.0718,52.10%
2025-07-02,"""Da Silva, Alexia""",35.5352,47.38%
2025-07-02,"""Chemaly, Daniel""",35.2229,46.96%
2025-07-02,"""Levinrad, Dayne 2""",32.2362,42.98%
2025-07-02,"""Dodge, Dave 2""",27.8767,37.17%
2025-07-02,"""Khumalo, Sabelo""",23.5764,31.44%
2025-07-02,"""Levinrad, Dayne""",20.6573,27.54%
2025-07-02,"""Dineka, Vuyisile 2""",18.9308,25.24%
2025-07-02,"""Wood, Jonathan""",12.5341,16.71%
2025-07-02,"""Msibi, Jabulani""",12.2089,16.28%
2025-07-02,"""Hartzenberg, Byron""",11.2027,14.94%
2025-07-02,"""Dodge, Dave""",10.9643,14.62%
2025-07-02,"""Mabaso, Siphiwe""",10.9269,14.57%
2025-07-02,"""Rahman, Aqeel""",2.9612,3.95%
2025-07-02,"""Jones, Nicholas""",1.3008,1.73%
2025-07-02,"""Tshabalala, Dumisani Alexius""",0.3248,0.43%
2025-07-02,"""Docrat, Mohammed""",0.0000,0.00%
2025-07-02,"""Name""",Stage Pts,Stage %
2025-07-02,"""De Gouveia, Roberto""",75.0000,100.00%
2025-07-02,"""Da Silva, Alexia 2""",72.1908,96.25%
2025-07-02,"""X, Ghost""",71.8797,95.84%
2025-07-02,"""De Gouveia, Roberto 2""",63.5930,84.79%
2025-07-02,"""Gillespie, Josh""",57.9207,77.23%
2025-07-02,"""Gillespie, Josh 2""",56.8967,75.86%
2025-07-02,"""Gillespie, Josh 3""",55.8847,74.51%
2025-07-02,"""Bishop, Mark""",55.1580,73.54%
2025-07-02,"""Rabie, Theo""",45.2068,60.28%
2025-07-02,"""Du Plooy, Dewald""",34.7107,46.28%
2025-07-02,"""Smith, Sheldon""",33.0554,44.07%
2025-07-02,"""Bardenhorst, Jeandre""",19.6050,26.14%
2025-07-02,"""Name""",Stage Pts,Stage %
2025-07-02,"""Naidoo, Saven 2""",75.0000,100.00%
2025-07-02,"""Naidoo, Saven""",73.3668,97.82%
2025-07-02,"""Veysel, Karan""",13.9077,18.54%
2025-07-02,"""Name""",Stage Pts,Stage %
2025-07-02,"""Da Cruz, David""",75.0000,100.00%
2025-07-02,"""De Gouveia, Roberto""",64.3100,85.75%
2025-07-02,"""Rabie, Theo""",62.0694,82.76%
2025-07-02,"""Da Silva, Alexia 2""",61.9012,82.53%
2025-07-02,"""X, Ghost""",61.6345,82.18%
2025-07-02,"""Morris, Bevan""",60.9032,81.20%
2025-07-02,"""Gxagxa, Muzi 2""",60.1596,80.21%
2025-07-02,"""De Gouveia, Roberto 2""",54.5289,72.71%
2025-07-02,"""Plein, Aubrey""",52.7113,70.28%
2025-07-02,"""Plein, Noah 2""",52.6752,70.23%
2025-07-02,"""De Gouveia, Roberto (P)""",51.9627,69.28%
2025-07-02,"""Gillespie, Josh""",49.6651,66.22%
2025-07-02,"""Gillespie, Josh 2""",48.7871,65.05%
2025-07-02,"""Gillespie, Josh 3""",47.9193,63.89%
2025-07-02,"""Bishop, Mark""",47.2962,63.06%
2025-07-02,"""Rowe, Connor""",46.8105,62.41%
2025-07-02,"""Plein, Noah""",44.1891,58.92%
2025-07-02,"""Hepton, Harry""",42.9432,57.26%
2025-07-02,"""Moolman, Adrian""",42.4733,56.63%
2025-07-02,"""Docrat, Mohammed""",39.0873,52.12%
2025-07-02,"""Rabie, Theo""",38.7634,51.68%
2025-07-02,"""Naidoo, Saven 2""",37.6083,50.14%
2025-07-02,"""Naidoo, Saven""",36.7893,49.05%
2025-07-02,"""Gxagxa, Muzi""",36.4619,48.62%
2025-07-02,"""Knox, Nobby""",32.5343,43.38%
2025-07-02,"""Wei, Darren""",32.2830,43.04%
2025-07-02,"""Dineka, Vuyisile""",32.0059,42.67%
2025-07-02,"""Coetzee, Desmond""",31.3406,41.79%
2025-07-02,"""Du Plooy, Dewald""",29.7633,39.68%
2025-07-02,"""Da Silva, Alexia""",28.5037,38.00%
2025-07-02,"""Smith, Sheldon""",28.3439,37.79%
2025-07-02,"""Chemaly, Daniel""",28.2532,37.67%
2025-07-02,"""Levinrad, Dayne 2""",25.8576,34.48%
2025-07-02,"""Dodge, Dave 2""",22.3607,29.81%
2025-07-02,"""Khumalo, Sabelo""",18.9113,25.22%
2025-07-02,"""Bardenhorst, Jeandre""",16.8106,22.41%
2025-07-02,"""Levinrad, Dayne""",16.5698,22.09%
2025-07-02,"""Dineka, Vuyisile 2""",15.1849,20.25%
2025-07-02,"""Wood, Jonathan""",10.0539,13.41%
2025-07-02,"""Msibi, Jabulani""",9.7931,13.06%
2025-07-02,"""Hartzenberg, Byron""",8.9860,11.98%
2025-07-02,"""Dodge, Dave""",8.7948,11.73%
2025-07-02,"""Mabaso, Siphiwe""",8.7648,11.69%
2025-07-02,"""Veysel, Karan""",6.9739,9.30%
2025-07-02,"""Rahman, Aqeel""",2.3753,3.17%
2025-07-02,"""Jones, Nicholas""",1.0434,1.39%
2025-07-02,"""Tshabalala, Dumisani Alexius""",0.2606,0.35%
2025-07-02,"""Docrat, Mohammed""",0.0000,0.00%
2025-07-02,"""Da Cruz, David""",196.7368,100.0000%
2025-07-02,"""Plein, Noah""",185.0578,94.0636%
2025-07-02,"""De Gouveia, Roberto""",183.7058,93.3764%
2025-07-02,"""Goncalves, Francisco""",165.7285,84.2387%
2025-07-02,"""Rabie, Theo""",161.6919,82.1869%
2025-07-02,"""Morris, Bevan""",149.0093,75.7404%
2025-07-02,"""Knox, Nobby""",144.3264,73.3601%
2025-07-02,"""Bishop, Mark""",143.1773,72.7761%
2025-07-02,"""Gillespie, Josh""",140.7243,71.5292%
2025-07-02,"""Blignaut, Dewald""",135.1159,68.6785%
2025-07-02,"""Wei, Darren""",134.1620,68.1936%
2025-07-02,"""Moolman, Adrian""",133.9355,68.0785%
2025-07-02,"""Plein, Aubrey""",126.2496,64.1718%
2025-07-02,"""Ngcobo, Thabo""",125.3850,63.7324%
2025-07-02,"""Horton, Mike""",123.1293,62.5858%
2025-07-02,"""Coetzee, Desmond""",121.2144,61.6125%
2025-07-02,"""X, Leehleza""",119.6657,60.8253%
2025-07-02,"""Gxagxa, Muzi""",118.8461,60.4087%
2025-07-02,"""Ferreira, Johan""",113.5324,57.7078%
2025-07-02,"""Goncalves, Francisco2""",111.3332,56.5899%
2025-07-02,"""Mthembu, Jacob""",108.4911,55.1453%
2025-07-02,"""Mj, Mj""",107.6186,54.7018%
2025-07-02,"""Gyarmati, Marlyn""",103.9995,52.8623%
2025-07-02,"""Naidoo, Saven""",102.7542,52.2293%
2025-07-02,"""Mqaise, Rudy""",100.6828,51.1764%
2025-07-02,"""Du Plooy, Dewald""",99.3152,50.4813%
2025-07-02,"""Coetzer, Jared""",96.9938,49.3013%
2025-07-02,"""Dias, Vic Senior""",93.9032,47.7304%
2025-07-02,"""Veysel, Karan""",93.1895,47.3676%
2025-07-02,"""Dias, Miguel""",90.9715,46.2402%
2025-07-02,"""Phaedi, Tiiso""",89.5083,45.4965%
2025-07-02,"""Bishop, Steven""",86.6420,44.0395%
2025-07-02,"""Msibi, Jabulani""",86.4943,43.9645%
2025-07-02,"""Lodge, Athelio""",86.2697,43.8503%
2025-07-02,"""Masike, Tebogo""",81.8888,41.6235%
2025-07-02,"""Goncalves, Rory""",80.8324,41.0866%
2025-07-02,"""Sukazi, Lindelihle""",75.5165,38.3845%
2025-07-02,"""Subotzky, Ryan""",74.5728,37.9049%
2025-07-02,"""Halim, Aadil""",74.2850,37.7586%
2025-07-02,"""Titizana, Zanemvula""",71.7893,36.4900%
2025-07-02,"""Levinrad, Dayne""",69.8594,35.5091%
2025-07-02,"""Maduna, Thabiso""",63.7371,32.3971%
2025-07-02,"""Van Schoor, Floyd""",59.9408,30.4675%
2025-07-02,"""Motloung, Sanele""",56.5614,28.7498%
2025-07-02,"""Blignaut, Nicole""",49.0052,24.9090%
2025-07-02,"""Ditsela, Richard""",47.8789,24.3365%
2025-07-02,"""Molefe, Kgotso""",38.9323,19.7890%
2025-07-02,"""Alho, Gabz""",28.5791,14.5266%
2025-07-02,"""Maluleka, Nkateko""",4.6020,2.3392%
2025-07-02,"""Coetzee, Marcel""",0.0000,0.0000%
2025-06-25,"""De Gouveia, Roberto 3""",199.8640,100.0000%
2025-06-25,"""Da Cruz, David""",196.5465,98.3401%
2025-06-25,"""Plein, Noah""",184.9127,92.5193%
2025-06-25,"""De Gouveia, Roberto""",183.5532,91.8391%
2025-06-25,"""Moolman, Adrian 4""",172.5752,86.3463%
2025-06-25,"""Moolman, Adrian 3""",172.5399,86.3287%
2025-06-25,"""Moolman, Adrian 2""",169.9182,85.0169%
2025-06-25,"""Gillespie, Josh 2""",169.0185,84.5668%
2025-06-25,"""Goncalves, Francisco""",165.5761,82.8444%
2025-06-25,"""X, Ghost""",163.6923,81.9018%
2025-06-25,"""Rabie, Theo""",161.5508,80.8304%
2025-06-25,"""De Gouveia, Roberto 2""",152.2682,76.1859%
2025-06-25,"""Morris, Bevan""",148.8575,74.4794%
2025-06-25,"""Knox, Nobby""",144.1965,72.1473%
2025-06-25,"""Bishop, Mark""",143.0452,71.5713%
2025-06-25,"""Gillespie, Josh""",140.6148,70.3552%
2025-06-25,"""Blignaut, Dewald""",134.9904,67.5411%
2025-06-25,"""Wei, Darren""",134.0576,67.0744%
2025-06-25,"""Moolman, Adrian""",133.8185,66.9548%
2025-06-25,"""Mj, Mj 2""",129.7756,64.9320%
2025-06-25,"""Plein, Aubrey""",126.1228,63.1043%
2025-06-25,"""Ngcobo, Thabo""",125.2858,62.6855%
2025-06-25,"""Horton, Mike""",122.9933,61.5385%
2025-06-25,"""Coetzee, Desmond""",121.1115,60.5970%
2025-06-25,"""X, Leehleza""",119.5645,59.8229%
2025-06-25,"""Gxagxa, Muzi""",118.7431,59.4120%
2025-06-25,"""Naidoo, Saven 2""",116.9375,58.5085%
2025-06-25,"""Ferreira, Johan""",113.4534,56.7653%
2025-06-25,"""Goncalves, Francisco2""",111.2187,55.6472%
2025-06-25,"""Mthembu, Jacob""",108.3746,54.2242%
2025-06-25,"""X, Leehleza 2""",108.3471,54.2104%
2025-06-25,"""Mj, Mj""",107.5132,53.7932%
2025-06-25,"""Gyarmati, Marlyn""",103.9027,51.9867%
2025-06-25,"""Naidoo, Saven""",102.6495,51.3597%
2025-06-25,"""Mqaise, Rudy""",100.5902,50.3293%
2025-06-25,"""Du Plooy, Dewald""",99.2154,49.6415%
2025-06-25,"""Coetzer, Jared""",96.9013,48.4836%
2025-06-25,"""Ferreira, Johan 2""",94.2146,47.1394%
2025-06-25,"""Dias, Vic Senior""",93.8167,46.9403%
2025-06-25,"""Veysel, Karan""",93.1031,46.5832%
2025-06-25,"""Dias, Miguel""",90.8834,45.4726%
2025-06-25,"""Phaedi, Tiiso""",89.4260,44.7434%
2025-06-25,"""Titizana, Zanemvula 2""",88.0814,44.0707%
2025-06-25,"""Bishop, Steven""",86.5662,43.3126%
2025-06-25,"""Msibi, Jabulani""",86.4167,43.2378%
2025-06-25,"""Lodge, Athelio""",86.1957,43.1272%
2025-06-25,"""Gxagxa, Muzi 2""",85.8832,42.9708%
2025-06-25,"""Masike, Tebogo""",81.8455,40.9506%
2025-06-25,"""Goncalves, Rory""",80.7523,40.4036%
2025-06-25,"""Sukazi, Lindelihle""",75.4737,37.7625%
2025-06-25,"""Subotzky, Ryan""",74.5149,37.2828%
2025-06-25,"""Levinrad, Dayne 2""",74.5014,37.2760%
2025-06-25,"""Halim, Aadil""",74.2337,37.1421%
2025-06-25,"""Titizana, Zanemvula""",71.7268,35.8878%
2025-06-25,"""Levinrad, Dayne""",69.8205,34.9340%
2025-06-25,"""Maduna, Thabiso""",63.6718,31.8576%
2025-06-25,"""Van Schoor, Floyd""",59.8813,29.9610%
2025-06-25,"""Motloung, Sanele""",56.5231,28.2808%
2025-06-25,"""Blignaut, Nicole""",48.9755,24.5044%
2025-06-25,"""Ditsela, Richard""",47.8789,23.9557%
2025-06-25,"""Molefe, Kgotso""",38.9145,19.4705%
2025-06-25,"""Alho, Gabz""",28.5273,14.2734%
2025-06-25,"""Maluleka, Nkateko""",4.6020,2.3026%
2025-06-25,"""Coetzee, Marcel""",0.0000,0.0000%
2025-06-11,"""De Gouveia, Roberto""",230.0000,100.0000%
2025-06-11,"""Plein, Noah""",209.2256,90.9677%
2025-06-11,"""Moolman, Adrian""",189.9625,82.5924%
2025-06-11,"""Ngcobo, Thabo""",177.4694,77.1606%
2025-06-11,"""Naidoo, Saven""",175.4115,76.2659%
2025-06-11,"""Gillespie, Josh""",166.7019,72.4791%
2025-06-11,"""Smith, Sheldon""",163.0211,70.8787%
2025-06-11,"""Dias, Vic""",158.1004,68.7393%
2025-06-11,"""Dias, Vic""",144.3611,62.7657%
2025-06-11,"""Mj, Mj""",142.1255,61.7937%
2025-06-11,"""Goncalves, Rory""",139.6542,60.7192%
2025-06-11,"""Horton, Mike""",135.7318,59.0138%
2025-06-11,"""Benecke, Sheldon""",133.9157,58.2242%
2025-06-11,"""Sukazi, Lindelihle""",133.0814,57.8615%
2025-06-11,"""Lodge, Athelio""",131.0139,56.9626%
2025-06-11,"""Ferreira, Johan""",129.5895,56.3433%
2025-06-11,"""Chamont, Brad""",126.3019,54.9139%
2025-06-11,"""Van Zyl, Walla""",126.0882,54.8210%
2025-06-11,"""Msibi, Jabulani""",125.2281,54.4470%
2025-06-11,"""Blignaut, Calvin""",119.3615,51.8963%
2025-06-11,"""Jones, Nicholas""",115.5857,50.2547%
2025-06-11,"""Dias-Chamont, Talia""",112.2068,48.7856%
2025-06-11,"""Goliath, Josh""",109.7402,47.7131%
2025-06-11,"""Plein, Aubrey""",100.3156,43.6155%
2025-06-11,"""Veysel, Karan""",95.0332,41.3188%
2025-06-11,"""Titizana, Zanemvula""",93.1747,40.5107%
2025-06-11,"""Du Plooy, Dewald""",92.4037,40.1755%
2025-06-11,"""Dodge, Dave""",87.5403,38.0610%
2025-06-11,"""Matee, Katlego""",76.7340,33.3626%
2025-06-11,"""Berman, Daniel""",71.7072,31.1770%
2025-06-11,"""Subotzky, Ryan""",69.5095,30.2215%
2025-06-11,"""Hume, Sarah""",67.5703,29.3784%
2025-06-11,"""Kaplan, Josh""",62.0791,26.9909%
2025-06-11,"""Motloung, Sanele""",59.6502,25.9349%
2025-06-11,"""Van Schoor, Floyd""",59.2794,25.7737%
2025-06-11,"""Martins, Jorge""",54.6830,23.7752%
2025-06-11,"""Mqaise, Rudy""",53.5606,23.2872%
2025-06-11,"""Khan, Mahomad""",40.2426,17.4968%
2025-06-11,"""Bvuma, Tshepo""",38.5281,16.7513%
2025-06-11,"""Eleshmawi, Faris""",37.5064,16.3071%
2025-06-11,"""Maxwell, Kyle""",33.0034,14.3493%
2025-06-11,"""Rahman, Ismaaeel""",21.4850,9.3413%
2025-06-11,"""(DQ) Levinrad, Dayne""",,
2025-06-11,"""(DQ) Rahman, Aqeel""",,
2025-06-11,"""Name""",Stage Pts,Stage %
2025-06-11,"""Plein, Aubrey""",0.0000,0.00%
2025-06-11,"""Name""",Stage Pts,Stage %
2025-06-11,"""Horton, Mike""",115.0000,100.00%
2025-06-11,"""Name""",Stage Pts,Stage %
2025-06-11,"""Moolman, Adrian 2""",115.0000,100.00%
2025-06-11,"""Moolman, Adrian""",112.1418,97.51%
2025-06-11,"""Plein, Noah""",108.8664,94.67%
2025-06-11,"""Gillespie, Josh 2""",99.3970,86.43%
2025-06-11,"""Ferreira, Johan 2""",89.8484,78.13%
2025-06-11,"""Gillespie, Josh""",87.4543,76.05%
2025-06-11,"""Ferreira, Johan""",71.3203,62.02%
2025-06-11,"""Lodge, Athelio""",62.0769,53.98%
2025-06-11,"""Van Zyl, Walla""",60.3048,52.44%
2025-06-11,"""Mj, Mj""",58.1873,50.60%
2025-06-11,"""Mqaise, Rudy""",55.3192,48.10%
2025-06-11,"""Msibi, Jabulani""",54.8820,47.72%
2025-06-11,"""Dodge, Dave""",53.4530,46.48%
2025-06-11,"""Jones, Nicholas""",50.4834,43.90%
2025-06-11,"""Benecke, Sheldon""",49.0650,42.67%
2025-06-11,"""Goliath, Josh""",48.2157,41.93%
2025-06-11,"""Kaplan, Josh""",41.8915,36.43%
2025-06-11,"""Van Schoor, Floyd""",36.6586,31.88%
2025-06-11,"""Hume, Sarah""",33.1252,28.80%
2025-06-11,"""Berman, Daniel""",32.8357,28.55%
2025-06-11,"""Matee, Katlego""",32.6820,28.42%
2025-06-11,"""Motloung, Sanele""",28.8013,25.04%
2025-06-11,"""Khan, Mahomad""",28.5977,24.87%
2025-06-11,"""Rahman, Ismaaeel""",22.1905,19.30%
2025-06-11,"""Subotzky, Ryan""",16.7204,14.54%
2025-06-11,"""Bvuma, Tshepo""",14.9921,13.04%
2025-06-11,"""Eleshmawi, Faris""",9.9820,8.68%
2025-06-11,"""Maxwell, Kyle""",0.0000,0.00%
2025-06-11,"""(DQ) Levinrad, Dayne""",,
2025-06-11,"""(DQ) Rahman, Aqeel""",,
2025-06-11,"""Name""",Stage Pts,Stage %
2025-06-11,"""De Gouveia, Roberto 2""",115.0000,100.00%
2025-06-11,"""De Gouveia, Roberto""",112.7213,98.02%
2025-06-11,"""De Gouveia, Roberto 4""",112.2263,97.59%
2025-06-11,"""De Gouveia, Roberto 3""",109.6904,95.38%
2025-06-11,"""Dias, Vic""",81.1688,70.58%
2025-06-11,"""Dias, Vic""",77.8251,67.67%
2025-06-11,"""Ngcobo, Thabo""",75.6937,65.82%
2025-06-11,"""X, Ghost""",71.7192,62.36%
2025-06-11,"""Smith, Sheldon""",69.8713,60.76%
2025-06-11,"""Dias, Vic 3""",67.1507,58.39%
2025-06-11,"""Blignaut, Calvin""",64.7067,56.27%
2025-06-11,"""Sukazi, Lindelihle""",59.9990,52.17%
2025-06-11,"""Titizana, Zanemvula""",59.2793,51.55%
2025-06-11,"""Sukazi, Lindelihle 2""",56.8173,49.41%
2025-06-11,"""Goncalves, Rory""",56.7520,49.35%
2025-06-11,"""Du Plooy, Dewald""",43.3708,37.71%
